0, 559082264.028718, 156543.033928041, 1, 1
1, 279541132.014359, 78271.5169640205, 2, 2
2, 139770566.007179, 39135.7584820103, 4, 4
3, 69885283.0035897, 19567.8792410051, 8, 8
4, 34942641.5017949, 9783.9396205026, 16, 16
5, 17471320.7508974, 4891.9698102513, 32, 32
6, 8735660.37544872, 2445.9849051256, 64, 64
7, 4367830.18772436, 1222.9924525628, 128, 128
8, 2183915.09386218, 611.4962262814, 256, 256
9, 1091957.54693109, 305.7481131407, 512, 512
10, 545978.773465545, 152.8740565704, 1024, 1024
11, 272989.386732772, 76.4370282852, 2048, 2048
12, 136494.693366386, 38.2185141426, 4096, 4096
13, 68247.3466831931, 19.1092570713, 8192, 8192
14, 34123.6733415965, 9.5546285356, 16384, 16384
15, 17061.8366707983, 4.7773142678, 32768, 32768
16, 8530.9183353991, 2.3886571339, 65536, 65536
17, 4265.4591676996, 1.194328567, 131072, 131072
18, 2132.7295838498, 0.5971642835, 262144, 262144
19, 1066.3647919249, 0.2985821417, 524288, 524288
20, 533.1823959624, 0.1492910709, 1048576, 1048576
21, 266.5911979812, 0.0746455354, 2097152, 2097152
22, 133.2955989906, 0.0373227677, 4194304, 4194304
23, 66.6477994953, 0.0186613839, 8388608, 8388608
24, 33.3238997477, 0.0093306919, 16777216, 16777216
